"TSLA - Tesla, Inc."
Date,Open,High,Low,Close*,Adj Close**,Volume
"Sep 11, 2018",279.47,282.00,273.55,279.44,279.44,"9,170,000"
"Sep 10, 2018",273.26,286.03,271.00,285.50,285.50,"14,283,500"
"Sep 07, 2018",260.10,268.35,252.25,263.24,263.24,"22,491,900"
"Sep 06, 2018",284.80,291.17,278.88,280.95,280.95,"7,480,800"
"Sep 05, 2018",285.05,286.78,277.18,280.74,280.74,"7,720,800"
"Sep 04, 2018",296.94,298.19,288.00,288.95,288.95,"8,350,500"
"Aug 31, 2018",302.00,305.31,298.60,301.66,301.66,"5,375,100"
"Aug 30, 2018",302.26,304.60,297.72,303.15,303.15,"7,216,700"
"Aug 29, 2018",310.27,311.85,303.69,305.01,305.01,"7,447,400"
"Aug 28, 2018",318.41,318.88,311.19,311.86,311.86,"7,649,100"
"Aug 27, 2018",318.00,322.44,308.81,319.27,319.27,"13,079,300"
"Aug 24, 2018",320.70,323.85,319.40,322.82,322.82,"3,602,600"
"Aug 23, 2018",319.14,327.32,318.10,320.10,320.10,"5,147,300"
"Aug 22, 2018",320.87,323.88,314.67,321.64,321.64,"5,946,000"
"Aug 21, 2018",310.61,324.79,309.00,321.90,321.90,"13,172,200"
"Aug 20, 2018",291.70,308.50,288.20,308.44,308.44,"17,402,300"
"Aug 17, 2018",323.50,326.77,303.53,305.50,305.50,"18,958,600"
"Aug 16, 2018",339.91,342.28,333.82,335.45,335.45,"6,064,000"
"Aug 15, 2018",341.91,344.49,332.14,338.69,338.69,"9,101,300"
"Aug 14, 2018",358.45,359.20,347.10,347.64,347.64,"6,986,400"
"Aug 13, 2018",361.13,363.19,349.02,356.41,356.41,"10,450,200"
"Aug 10, 2018",354.00,360.00,346.00,355.49,355.49,"11,552,000"
"Aug 09, 2018",365.55,367.01,345.73,352.45,352.45,"17,103,700"
"Aug 08, 2018",369.09,382.64,367.12,370.34,370.34,"24,571,200"
"Aug 07, 2018",343.84,387.46,339.15,379.57,379.57,"30,875,800"
"Aug 06, 2018",345.46,354.98,341.82,341.99,341.99,"8,564,300"
"Aug 03, 2018",347.81,355.00,342.53,348.17,348.17,"13,656,500"
"Aug 02, 2018",328.44,349.99,323.16,349.54,349.54,"23,215,000"
"Aug 01, 2018",297.99,303.00,293.00,300.84,300.84,"10,129,400"

GOOGL - Alphabet Inc.
Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 21, 2018","1,032.04","1,037.67",981.19,991.25,991.25,"5,228,500"
"Dec 20, 2018","1,026.00","1,047.44","1,007.86","1,023.58","1,023.58","2,683,700"
"Dec 19, 2018","1,047.29","1,075.71","1,019.43","1,035.46","1,035.46","2,913,200"
"Dec 18, 2018","1,034.00","1,059.69","1,030.48","1,043.41","1,043.41","2,182,000"
"Dec 17, 2018","1,047.01","1,062.38","1,016.63","1,025.65","1,025.65","2,496,600"
"Dec 14, 2018","1,060.02","1,071.72","1,049.37","1,051.71","1,051.71","1,817,900"
"Dec 13, 2018","1,075.67","1,088.42","1,064.99","1,073.54","1,073.54","1,249,300"
"Dec 12, 2018","1,077.08","1,091.73","1,071.97","1,073.73","1,073.73","1,448,000"
"Dec 11, 2018","1,066.94","1,070.40","1,050.10","1,061.65","1,061.65","1,692,600"
"Dec 10, 2018","1,042.94","1,059.60","1,033.00","1,053.18","1,053.18","1,682,600"
"Dec 07, 2018","1,072.23","1,085.03","1,039.37","1,046.58","1,046.58","2,134,100"
"Dec 06, 2018","1,045.00","1,079.42","1,042.48","1,078.08","1,078.08","2,371,800"
"Dec 04, 2018","1,112.99","1,114.24","1,060.78","1,062.47","1,062.47","2,281,500"
"Dec 03, 2018","1,132.16","1,135.00","1,111.73","1,116.36","1,116.36","2,876,600"
"Nov 30, 2018","1,095.63","1,109.65","1,083.18","1,109.65","1,109.65","2,983,400"
"Nov 29, 2018","1,083.53","1,100.15","1,082.00","1,094.58","1,094.58","1,550,200"
"Nov 28, 2018","1,057.46","1,092.86","1,042.95","1,091.79","1,091.79","2,302,100"
"Nov 27, 2018","1,051.34","1,066.76","1,045.50","1,052.28","1,052.28","1,652,400"
"Nov 26, 2018","1,044.00","1,057.00","1,039.77","1,055.94","1,055.94","1,576,200"
"Nov 23, 2018","1,033.50","1,043.00","1,028.52","1,030.10","1,030.10","708,900"
"Nov 21, 2018","1,045.31","1,054.71","1,039.46","1,043.43","1,043.43","1,484,900"
"Nov 20, 2018","1,007.29","1,037.35","1,002.21","1,030.45","1,030.45","2,722,900"
"Nov 19, 2018","1,063.39","1,068.00","1,022.87","1,027.42","1,027.42","2,284,200"
"Nov 16, 2018","1,065.23","1,072.44","1,054.90","1,068.27","1,068.27","1,768,300"
"Nov 15, 2018","1,051.46","1,078.87","1,041.29","1,071.05","1,071.05","2,079,200"
"Nov 14, 2018","1,060.00","1,065.79","1,041.11","1,054.58","1,054.58","1,733,300"
"Nov 13, 2018","1,054.81","1,066.67","1,040.40","1,047.97","1,047.97","1,287,500"
"Nov 12, 2018","1,073.13","1,074.10","1,040.35","1,049.36","1,049.36","1,700,100"
"Nov 09, 2018","1,084.02","1,088.35","1,064.26","1,077.02","1,077.02","1,743,000"
"Nov 08, 2018","1,107.30","1,108.22","1,084.36","1,094.63","1,094.63","1,684,700"
"Nov 07, 2018","1,083.49","1,109.93","1,080.59","1,108.24","1,108.24","2,169,400"
"Nov 06, 2018","1,055.02","1,079.82","1,053.61","1,069.57","1,069.57","1,433,000"
"Nov 05, 2018","1,072.53","1,073.35","1,034.00","1,055.73","1,055.73","2,267,900"
"Nov 02, 2018","1,089.00","1,098.00","1,067.66","1,071.49","1,071.49","2,171,900"
"Nov 01, 2018","1,091.40","1,099.90","1,077.82","1,085.98","1,085.98","2,006,600"
"Oct 31, 2018","1,068.20","1,108.00","1,068.20","1,090.58","1,090.58","3,545,800"
"Oct 30, 2018","1,020.01","1,050.90","1,013.97","1,049.51","1,049.51","2,988,400"
"Oct 29, 2018","1,096.54","1,108.83","1,007.20","1,034.73","1,034.73","4,064,500"
"Oct 26, 2018","1,048.33","1,117.00","1,042.23","1,083.75","1,083.75","5,321,900"
"Oct 25, 2018","1,080.30","1,117.82","1,075.55","1,103.59","1,103.59","3,647,800"
"Oct 24, 2018","1,115.00","1,116.62","1,055.06","1,057.12","1,057.12","2,464,300"
"Oct 23, 2018","1,091.29","1,118.00","1,079.01","1,114.91","1,114.91","1,884,300"
"Oct 22, 2018","1,112.51","1,121.69","1,100.00","1,111.37","1,111.37","1,355,800"
"Oct 19, 2018","1,103.71","1,120.95","1,097.03","1,105.18","1,105.18","2,064,300"
"Oct 18, 2018","1,130.00","1,132.35","1,086.34","1,097.91","1,097.91","2,307,600"
"Oct 17, 2018","1,140.00","1,147.00","1,114.00","1,127.59","1,127.59","1,782,600"
"Oct 16, 2018","1,113.48","1,136.37","1,111.75","1,133.08","1,133.08","1,918,900"
"Oct 15, 2018","1,118.00","1,121.80","1,098.22","1,102.44","1,102.44","1,503,700"
"Oct 12, 2018","1,119.64","1,125.83","1,095.03","1,120.54","1,120.54","2,468,500"
"Oct 11, 2018","1,079.04","1,116.06","1,075.89","1,090.74","1,090.74","3,384,800"
"Oct 10, 2018","1,136.40","1,137.02","1,091.51","1,092.16","1,092.16","2,949,000"
"Oct 09, 2018","1,151.31","1,161.55","1,144.17","1,145.17","1,145.17","1,684,500"
